video_name,timestamp_sec,frame_id,vehicle_id,wheel_count,x1,y1,x2,y2
video10.mp4,0.03373186736474695,1,1,0,164,4,706,522
video10.mp4,0.0674637347294939,2,1,0,152,0,706,523
video10.mp4,0.10119560209424083,3,1,0,140,-2,703,517
video10.mp4,0.1349274694589878,4,1,0,132,-3,705,516
video10.mp4,0.16865933682373474,5,1,0,126,0,702,520
video10.mp4,0.20239120418848167,6,1,0,116,-2,698,518
video10.mp4,0.23612307155322862,7,1,0,101,-4,693,515
video10.mp4,0.2698549389179756,8,1,0,103,-3,696,514
video10.mp4,0.3035868062827225,9,1,0,89,-2,696,517
video10.mp4,0.3373186736474695,10,1,0,98,0,700,520
video10.mp4,0.3710505410122164,11,1,0,108,0,706,520
video10.mp4,0.40478240837696333,12,1,0,116,1,708,522
video10.mp4,0.4385142757417103,13,1,0,110,2,707,525
video10.mp4,0.47224614310645724,14,1,0,119,3,711,526
video10.mp4,0.5059780104712042,15,1,0,129,3,714,527
video10.mp4,0.5397098778359511,16,1,0,139,5,717,528
video10.mp4,0.5734417452006981,17,1,0,143,4,717,528
video10.mp4,0.607173612565445,18,1,0,141,3,715,528
video10.mp4,0.640905479930192,19,1,0,138,2,714,528
video10.mp4,0.674637347294939,20,1,0,145,3,717,528
video10.mp4,0.7083692146596858,21,1,0,145,4,717,530
video10.mp4,0.7421010820244328,22,1,0,140,4,713,531
video10.mp4,0.7758329493891798,23,1,0,142,4,713,531
video10.mp4,0.8095648167539267,24,1,0,144,4,713,531
video10.mp4,0.8432966841186736,25,1,0,142,6,711,536
video10.mp4,0.8770285514834206,26,1,0,141,6,711,537
video10.mp4,0.9107604188481676,27,1,0,137,4,709,536
video10.mp4,0.9444922862129145,28,1,0,137,3,710,535
video10.mp4,0.9782241535776615,29,1,0,131,2,708,536
video10.mp4,1.0119560209424083,30,1,0,132,3,710,539
video10.mp4,1.0456878883071554,31,1,0,137,2,712,539
video10.mp4,1.0794197556719023,32,1,0,134,3,711,541
video10.mp4,1.1131516230366492,33,1,0,135,2,711,540
video10.mp4,1.1468834904013963,34,1,0,138,2,712,540
video10.mp4,1.1806153577661431,35,1,0,137,2,710,537
video10.mp4,1.21434722513089,36,1,0,138,3,709,538
video10.mp4,1.248079092495637,37,1,0,137,3,708,538
video10.mp4,1.281810959860384,38,1,0,140,3,709,536
video10.mp4,1.3155428272251308,39,1,0,136,3,706,534
video10.mp4,1.349274694589878,40,1,0,137,3,705,534
video10.mp4,1.3830065619546248,41,1,0,136,4,704,534
video10.mp4,1.4167384293193717,42,1,0,137,4,704,535
video10.mp4,1.4504702966841188,43,1,0,135,2,705,533
video10.mp4,1.4842021640488656,44,1,0,138,2,707,531
video10.mp4,1.5179340314136125,45,1,0,143,2,711,529
video10.mp4,1.5516658987783596,46,1,0,149,3,715,529
video10.mp4,1.5853977661431065,47,1,0,154,4,715,530
video10.mp4,1.6191296335078533,48,1,0,148,4,709,530
video10.mp4,1.6528615008726004,49,1,0,154,5,710,533
video10.mp4,1.6865933682373473,50,1,0,164,6,715,535
video10.mp4,1.7203252356020944,51,1,0,164,7,711,541
video10.mp4,1.7540571029668413,52,1,0,163,8,709,546
video10.mp4,1.7877889703315881,53,1,0,156,7,708,550
video10.mp4,1.8215208376963352,54,1,0,150,6,707,554
video10.mp4,1.855252705061082,55,1,0,140,3,705,553
video10.mp4,1.888984572425829,56,1,0,142,1,710,549
video10.mp4,1.922716439790576,57,1,0,141,2,711,551
video10.mp4,1.956448307155323,58,1,0,137,3,712,554
video10.mp4,1.9901801745200698,59,1,0,135,3,712,557
video10.mp4,2.0239120418848167,60,1,0,138,3,714,557
video10.mp4,2.0576439092495638,61,1,0,138,3,715,558
video10.mp4,2.091375776614311,62,1,0,138,4,715,561
video10.mp4,2.1251076439790575,63,1,0,142,5,716,563
video10.mp4,2.1588395113438046,64,1,0,144,3,716,562
video10.mp4,2.1925713787085517,65,1,0,150,2,718,561
video10.mp4,2.2263032460732983,66,1,0,156,3,716,564
video10.mp4,2.2600351134380454,67,1,0,162,4,716,567
video10.mp4,2.2937669808027925,68,1,0,165,5,714,569
video10.mp4,2.327498848167539,69,1,0,167,6,712,572
video10.mp4,2.3612307155322863,70,1,0,170,4,711,572
video10.mp4,2.3949625828970333,71,1,0,175,4,712,571
video10.mp4,2.42869445026178,72,1,0,168,5,710,570
video10.mp4,2.462426317626527,73,1,0,173,6,713,574
video10.mp4,2.496158184991274,74,1,0,175,10,712,580
video10.mp4,2.529890052356021,75,1,0,175,8,711,578
video10.mp4,2.563621919720768,76,1,0,175,6,711,578
video10.mp4,2.597353787085515,77,1,0,175,6,710,579
video10.mp4,2.6310856544502617,78,1,0,176,6,710,577
video10.mp4,2.6648175218150087,79,1,0,177,4,710,575
video10.mp4,2.698549389179756,80,1,0,176,6,708,577
video10.mp4,2.7322812565445025,81,1,0,176,3,707,573
video10.mp4,2.7660131239092496,82,1,0,174,1,708,569
video10.mp4,2.7997449912739967,83,1,0,178,3,710,573
video10.mp4,2.8334768586387433,84,1,0,179,4,711,574
video10.mp4,2.8672087260034904,85,1,0,176,1,711,568
